clause_text,label
"[""in the case of termination by monsanto upon any of the events of default specified in sections 10.4(b) (6), (7) and (9), the remedies of monsanto shall be limited to (i) termination of this agreement and (ii) the recovery of reasonable and customary out-of-pocket expenses incurred by monsanto in transferring the agent's duties hereunder to a new agent; provided that in no case shall the amount of expenses recoverable under this provision exceed $20mm."", ""if monsanto does not contest the occurrence of the alleged brand decline event by submitting such alleged brand decline event to resolution through<omitted>arbitration in accordance with the provisions of section 10.4(g) of this agreement within ninety (90) days of receipt of such notice from the agent, then that brand decline event shall be deemed to have occurred as of the date of such notice, and thereafter the agent shall be entitled to either, as the agent's sole remedy, (x) terminate this agreement, which termination shall be effective at the end of the third (3rd) full program year following the program year in which the agent delivers notice of termination pursuant to this section 10.5(d)(ii), or (y) not terminate this agreement and be entitled to the additional commission amount (in addition to the commission) set forth in section 10.5(d)(iv) below, which additional commission amount shall be subject to all other terms and conditions of this agreement with respect to the commission, except as otherwise expressly stated in this section 10.5(d)."", ""if monsanto does contest the occurrence of the alleged brand decline event by submitting such alleged brand decline event to resolution through arbitration in accordance with the provisions of section 10.4(g) of this agreement within ninety (90) days of receipt of such notice from the agent, then the question of whether a brand decline event has occurred will be finally determined in accordance with the provisions of section 10.4(g) of this agreement, and if a brand decline event is finally determined to have occurred, then the brand decline event shall be deemed to have occurred as of the date of such notice, and thereafter the agent shall be entitled to either, as the agent's sole remedy, (x) terminate this agreement, which termination shall be effective at the end of the third (3rd) full program year following the program year in which the agent delivers notice of termination pursuant to this section 10.5(d)(iii), or (y) not terminate this agreement and be entitled to the additional commission amount (in addition to the commission) set forth in section 10.5(d)(iv) below, which additional commission amount shall be subject to all other terms and conditions of this agreement with respect to the commission, except as otherwise expressly stated in this section 10.5(d)."", 'the payment of a termination fee to the agent under section 10.4(c) shall be deemed to constitute the exclusive remedy for any damages resulting out of the termination of this agreement by monsanto or the successor to the roundup business pursuant<omitted>to section 10.4(c) and the agent shall waive its right to exercise any other remedies otherwise available at law or in equity.']",Cap On Liability
"['in any action or proceeding between the parties (including any arbitration proceeding) arising under or with respect to this agreement or in any manner pertaining to the hyatt all-inclusive resorts or to the relationship of the parties under this agreement, each party hereby unconditionally and irrevocably waives and releases any right, power or privilege either may have to claim or receive from the other party any punitive or exemplary damages, each party acknowledging and agreeing that the remedies herein provided and other remedies at law or in equity will in all circumstances be adequate.']",Cap On Liability
"[""sicap ltd's liability for indirect loss, including consequential loss, loss of profit, lost savings and loss caused by interruption of operations is excluded.""]",Cap On Liability
"['pb will notify sfj in writing promptly (and in any event within [***]) following the entering into of a definitive agreement with respect to a change of control of pb.', 'fj may, in its sole discretion, terminate this agreement in its entirety at any time following a change of control of pb that occurs prior to the date of payment by pb of the final approval payment.', 'to exercise its right to make the change of control buy-out payment, pb or its successor shall provide written notice to sfj (the ""change of control buy-out notice"") no later than [***] after the date of closing of such change of control, which written notice shall set forth the amount of the applicable change of<omitted>control buy-out payment, the proposed date of closing of the buy-out (which shall occur within [***] after the date of closing of such change of control), and the calculation of the change of control buy-out payment in reasonable detail based upon the proposed closing date of the buy-out.', ""notwithstanding the foregoing, any assignment of the rights or obligations under this agreement by a party (i) to an affiliate shall require such party to guarantee the performance of such affiliate's financial and performance obligations hereunder or (ii) in connection with the sale or other transfer of all or substantially all of such party's business or assets to which this agreement relates shall require the ultimate affiliate controlling the other party in such transaction to guarantee such party's financial and performance obligations hereunder and such party shall remain liable for such financial and performance obligations notwithstanding such sale or other transfer of all or substantially all of such party's business or assets to which this agreement relates."", 'within one hundred and twenty (120) days following the closing of a change of control, pb or its successor shall have the right to make a one-time payment (the ""change of control buy-out payment"") in lieu of all (but not less than all) remaining approval payments for the applicable country(ies) in which regulatory approval has been received as of the date of closing of such change of control, provided that sfj has not previously assigned the right to receive the approval payments to a third party, in which event pb or its successor shall not have such right.']",Change Of Control
"[""notwithstanding anything to the contrary in this supply agreement, this supply agreement may be terminated:\n\n10.2.1 in its entirety or with respect to one or more products, on a product-by-product basis, by mutual written consent of sutro and sutrovax;\n\n\n\n\n\n10.2.2 in its entirety by a party if the other party materially breaches any of the material terms, conditions or agreements contained in this supply agreement to be kept, observed or performed by the other party, by giving the party who committed the breach [***] days' prior written notice, unless the notified party shall have cured the breach within such [***]-day period; and\n\n10.2.3 in its entirety or with respect to one or more products, on a product-by-product basis, by sutrovax upon [***] days' prior written notice to sutro for any reason.""]",Termination For Convenience
"[""this agreement may be terminated at any time while the employee is living by written notice thereof by either the employer or the employee to the other; and, in any event, this agreement will terminate upon termination of the employee's employment.""]",Termination For Convenience
"[""for the services to be rendered and facilities to be provided by the sponsor hereunder, the trust shall pay domini a fee accrued daily and payable monthly at an annual rate equal to 0.50% of the trust's average daily net assets for the trust's then current fiscal year.""]",Revenue/Profit Sharing
"[""consultant agrees that if company is unable because of consultant's unavailability, mental or physical incapacity, or for any other reason, to secure consultant's signature to apply for or to pursue any application or registration for any intellectual property rights covering any invention, then consultant hereby irrevocably designates and appoints company and its duly authorized officers and agents as consultant's agent and attorney-in-fact, to act for and in consultant's behalf<omitted>to execute and file any such applications and to do all other lawfully permitted acts to further the prosecution and issuance of such intellectual property rights thereon with the same legal force and effect as if executed by consultant."", 'consultant hereby irrevocably assigns to company all right, title and interest in and to any information (including, without limitation, business plans and/or business information), technology, know-how, materials, notes, records, designs, ideas, inventions, improvements, devices, developments, discoveries, compositions, trade secrets, processes, methods and/or techniques, whether or not patentable or copyrightable, that are conceived, reduced to practice or made by consultant alone or jointly with others in the course of performing the services or through the use of confidential information (collectively, 111nventions"").', 'consultant agrees to sign, execute and acknowledge or cause to be signed, executed and acknowledged without cost, but at the expense of company, any and all documents and to perform such acts as my be necessary, useful or convenient for the purposes of perfecting the foregoing assignments and obtaining, enforcing and defending intellectual property rights in any and all countries with respect to inventions.']",Ip Ownership Assignment
"['except for breach of confidentiality obligation hereunder, and to the extent permitted by applicable law, in no event shall either party be liable for special, punitive, indirect, incidental or consequential damages, including without limitation loss of use, data or lost profits, even if it has been advised of the possibility of such damages, whether under this agreement, in tort or otherwise.']",Uncapped Liability
"['beginning on the opening date, during each consecutive three-calendar-month period during the term, you must spend three percent (3%) or more of your gross sales on local marketing of the franchised business.', 'you agree to conduct a grand opening advertising program for the franchised business throughout the first four weeks after the opening date, spending an amount not less than $12,000.']",Minimum Commitment
