clause_text,label
"[""during the term, for the activities described in this agreement, imntv hereby grants distributor non-exclusive rights and licenses necessary within the territory to: (a) copy, store digitally, host and stream the programming; (b) publicly perform, publicly display, electronically transmit, distribute and broadcast the programming; (c) promote the programming and use imntv marks for distributor's promotion of the programming as activities described in section 2.4 above; (d) archive the programming on distributor's servers; (e) encode, copy, and create continuous programming excerpts of up to sixty (60) seconds and transmit, publicly perform, distribute, and redistribute such excerpts to""]",Volume Restriction
"['any attempted assignment in violation of this section shall be void.', 'this agreement shall not be assignable by either party unless the assignee expressly assumes in writing the obligations of the assignor hereunder.', ""network affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this agreement or delegate any of its duties under this agreement to any third party without ncm's prior written consent, which consent shall not be unreasonably withheld, conditioned or delayed.""]",Anti-Assignment
"[""to the extent necessary to effect the foregoing in a country other than the united states, each party grants to the other party a nonexclusive, irrevocable, perpetual, fully-paid, worldwide license, with the right to grant sublicenses, under the granting party's interest in joint program technology, for any and all purposes, provided that revmed's interest therein shall be subject to the other terms and conditions of this agreement, including the exclusive licenses granted herein (during the term) and all payment obligations."", 'upon expiration of this agreement, the licenses granted to sanofi under section 3.1 will become fully paid up, royalty free, perpetual and irrevocable.']",Irrevocable Or Perpetual License
"['talent agrees that company shall, for a period of nine (9) months (sell-off period) following the effective date of termination, have the right to continue to sell product bearing the property and/or utilize advertising materials and collateral bearing the property.']",Post-Termination Services
"['spare vehicles in the ratio of one spare vehicle to every ten operational vehicles (calculated by vehicle category, and allowing for reasonable substitutes, across the whole fleet) shall be held at each site and are included in this agreement in respect of fleet size calculations.']",Minimum Commitment
"['uch fee shall be paid after only the first to occur of either a liquidation event or an initial public offering. the respective fees, when and if payable, shall be paid upon closing; except that if there are additional contingent amounts (""trailing consideration"") payable upon the occurrence of subsequent events, then the trailing consideration shall be due and payable to jhu within thirty (30) days after receipt thereof by company.', 'for a liquidity event, the fee required under section 4.1 of this exhibit a above shall be payable to jhu by company in the same form as the proceeds paid or payable to either company or its security holders, whether in cash, securities or other property, and in the same proportion as such form of consideration is paid or payable to company or its security holders.', 'company will pay jhu a fee equal one percent (1%) of the aggregate consideration received by the company, or the total amount received by stockholders of company, upon the occurrence of a liquidity event.', 'notwithstanding the foregoing, in the event the form of consideration paid or payable includes securities for which there is not an active public market, in lieu of paying that portion of the fee with such securities company will make a cash payment to jhu equal to the fair market value of such securities.']",Change Of Control
['neither party may assign or otherwise transfer its rights and/or obligations under this agreement without the prior written consent of the other party.'],Anti-Assignment
"['in the event of such withdrawal, the company agrees forthwith to take such action as agi may request to publicly evidence that the endorsement has been withdrawn and the company agrees not to hold the business out as having the endorsement.']",Post-Termination Services
"[""magenta and its agents and designees shall have the right to audit bachem's facilities, systems, records, procedures, and documentation related to this agreement."", 'such audits may be conducted upon reasonable notice during the term of this agreement and for [***] thereafter.', 'bachem shall make accessible for review by magenta during an audit or inspection, or following product release by bachem\'s quality assurance department, either onsite or on an electronic platform with restricted access rights only (as reasonably requested by magenta), at a mutually agreeable time, all specific batch and lot records relevant to bachem\'s performance hereunder, including written investigations of any deviations and ""out-of-specification"" events that may have been generated from manufacturing, packaging, inspection, or testing processes.', 'such person shall be given reasonable access to all records, facilities and personnel working on any services or project plans for the purpose or providing advice, coordinating reviews, approvals or any other actions required to ensure compliance with this agreement to the extent that it does not compromise the confidentiality of other customers.']",Audit Rights
"['except under sections 13(a) and 13(b), in no event will either party be liable to the other for any special, incidental or consequential damages, whether based on breach of contract, tort (including negligence) or otherwise, whether or not that party has been advised of the possibility of such damage. the liability of either party for damages or alleged damages hereunder, whether in contract, tort or any other legal theory, is limited to, and will not exceed, the amounts to be paid by client to excite hereunder.']",Cap On Liability
